id,node_id,lon,lat
616,752,55.18070298,46.68346771
617,1334,55.18331899,46.68569303
618,4111,55.17938981,46.67432867
619,558,55.17732962,46.67400529
620,1066,55.17404119,46.68236188
621,1067,55.17582462,46.68408435
622,1202,55.17884496,46.68507286
623,1266,55.17399907,46.67736043
624,433,55.17336545,46.68118599
625,434,55.17115757,46.68046144
626,1068,55.17720505,46.68555885
627,1265,55.17144189,46.67806398
628,435,55.16825940,46.67920111
629,924,55.17114933,46.68304313
630,1258,55.17475759,46.68696351
631,1392,55.16958967,46.68463292
632,436,55.16698985,46.67824101
633,923,55.16748902,46.68676641
634,1264,55.16476902,46.68288338
635,1291,55.16625279,46.68128436
636,437,55.16497951,46.67719840
637,922,55.16479875,46.68581897
638,438,55.16202421,46.67597751
639,439,55.15972968,46.67783726
640,491,55.16251084,46.67509376
641,492,55.16471776,46.67362219
642,493,55.16620025,46.67227181
643,920,55.16142707,46.68397500
644,440,55.15828274,46.67915087
645,476,55.16163421,46.67058618
646,478,55.15870290,46.67369328
647,479,55.15596674,46.67435938
648,494,55.16782176,46.67086827
649,919,55.15901755,46.68276376
650,441,55.15621333,46.68096626
651,475,55.16303153,46.66909781
652,477,55.15836182,46.67167529
653,480,55.15329339,46.67482524
654,909,55.15726370,46.66999287
655,4423,55.15257313,46.67727940
656,442,55.15597724,46.68226666
657,443,55.15275450,46.68041054
658,448,55.14990582,46.67707424
659,444,55.15020146,46.68005413
660,488,55.15425108,46.68414122
661,921,55.16255049,46.68539536
662,445,55.14701215,46.68030731
663,489,55.15302060,46.68607449
664,1063,55.14922792,46.68257038
665,1064,55.14823923,46.68406356
666,490,55.15234139,46.68821671
667,1252,55.16086080,46.68793606
668,4356,55.14967018,46.68736782
669,446,55.14360347,46.68047352
670,449,55.14958681,46.67472469
671,481,55.14673944,46.67569160
672,561,55.14812347,46.67431903
673,1065,55.14713919,46.68566177
674,447,55.14160899,46.68060155
675,482,55.14396811,46.67606896
676,483,55.14091017,46.67641553
677,487,55.13786541,46.68081778
678,484,55.13797705,46.67679625
679,485,55.13568354,46.67702327
680,486,55.13610719,46.68030404
681,450,55.14817188,46.67095874
682,902,55.14874360,46.67174456
683,451,55.14728135,46.66756603
684,452,55.14730013,46.66576171
685,453,55.14983807,46.66607958
686,454,55.15340784,46.66540222
687,910,55.15664965,46.66810633
688,914,55.14363180,46.66723220
689,915,55.14140628,46.66800239
690,455,55.15425525,46.66262828
691,562,55.15538856,46.66579689
692,896,55.14099891,46.66221764
693,916,55.13804386,46.66906641
694,1022,55.13930351,46.66338915
695,1349,55.14598368,46.66223595
696,456,55.15544060,46.66211876
697,894,55.14454644,46.65909512
698,895,55.14304068,46.66092141
699,897,55.13773845,46.66457118
700,1129,55.15908086,46.66493552
701,457,55.15628568,46.65957632
702,1130,55.16234836,46.66461097
703,1256,55.16219187,46.66266682
704,1257,55.15910809,46.66120319
705,458,55.15847483,46.65869940
706,1262,55.16360831,46.66346950
707,1296,55.15333871,46.65816117
708,1637,55.16330920,46.66034060
709,1652,55.15175711,46.65732511
710,459,55.15956874,46.65650073
711,460,55.16203995,46.65540283
712,887,55.15875535,46.65328849
713,888,55.15621657,46.65285318
714,891,55.14948266,46.65573769
715,1636,55.16482897,46.65881573
716,461,55.16220919,46.65368557
717,462,55.16438217,46.65279508
718,889,55.15243558,46.65219606
719,1062,55.15388781,46.65085445
720,463,55.16550047,46.64971653
721,464,55.16721685,46.65021732
722,1127,55.16337921,46.64851743
723,1128,55.16225266,46.64842312
724,1059,55.15854920,46.64732027
725,1060,55.15694161,46.64781919
726,1061,55.15543000,46.64931592
727,903,55.16785768,46.64679957
728,904,55.17084116,46.64781173
729,905,55.17060120,46.64964523
730,906,55.16616659,46.64574103
731,907,55.16504206,46.64478991
732,908,55.16177136,46.64331708
733,1023,55.17094407,46.64406947
734,1058,55.15978078,46.64485135
735,1638,55.16869235,46.64477198
736,471,55.16908150,46.66304825
737,498,55.17330646,46.66521386
738,472,55.16738365,46.66529396
739,473,55.16583689,46.66566398
740,495,55.16933565,46.66770950
741,496,55.17104587,46.66785568
742,474,55.16462337,46.66757338
743,497,55.17346350,46.66852129
744,1350,55.16964760,46.66955320
745,560,55.17490783,46.66996376
746,901,55.13473797,46.67408198
747,900,55.13475497,46.67077159
748,1723,55.13273422,46.67229213
749,1253,55.15934763,46.68984073
750,1263,55.15603060,46.68961531
751,1295,55.15895197,46.69058337
752,559,55.17600142,46.67151551
753,1019,55.19177912,46.65579904
754,1018,55.19410947,46.65718098
755,1016,55.19770407,46.65890020
756,1017,55.19555102,46.65810664
757,1015,55.20044366,46.65983535
758,1014,55.20180476,46.66085098
759,1013,55.20400493,46.66193970
760,511,55.53458416,46.60476782
761,512,55.53631151,46.60830732
762,555,55.53546538,46.60663994
763,513,55.53747425,46.61069979
764,514,55.53941916,46.61451631
765,554,55.53842107,46.61264457
766,515,55.53962228,46.61699595
767,516,55.53857589,46.61997342
768,517,55.53852706,46.62235142
769,518,55.53845150,46.62319824
770,519,55.53835971,46.62600804
771,520,55.53823807,46.62902419
772,521,55.53813074,46.63206834
773,522,55.53815611,46.63534439
774,523,55.53865487,46.63637048
775,524,55.53997162,46.63684463
776,525,55.54299936,46.63745078
777,526,55.54607746,46.63802248
778,527,55.54901164,46.63868344
779,528,55.55007110,46.64017938
780,529,55.55086487,46.64169766
781,530,55.55202293,46.64391047
782,531,55.55318186,46.64602986
783,532,55.55403329,46.64758093
784,533,55.55533773,46.65000340
785,534,55.55634846,46.65187479
786,535,55.55709602,46.65329819
787,536,55.55752048,46.65596428
