id,uwi,latitude,longitude,well_name
212,ASA_0260,46.54637738,56.42591339,G_260 Асар
213,ASA_0261,46.54022927,56.42157321,G_261/Асар
214,ASA_0262,46.53716037,56.42197001,G_262 Асар
215,ASA_0263,46.53987000,56.41707000,G_263/Асар
216,ASA_0265,46.54186000,56.42698000,G_265/Асар
217,ASA_0267,46.53942187,56.42858176,G_267 Асар
218,ASA_0270,46.54043423,56.41647322,G_270/Асар
219,ASA_0271,46.53562053,56.43141518,G_271-Асар
220,ASA_0274,46.54114056,56.41921906,G_274 Асар
221,ASA_0275,46.53568169,56.41949979,G_275 Асар
222,ASA_0281,46.52845000,56.44521000,G_281 Асар
223,ASA_0283,46.54592297,56.41995934,
224,ASA_0300,46.54460000,56.40310000,G_300/Асар
225,ASA_0302,46.54597025,56.40749504,G_302/Асар
226,ASA_0303,46.54816000,56.41491000,G_303/Асар
227,ASA_0304,46.54095158,56.40463959,304-Асар
228,ASA_0305,46.54538345,56.41456713,G_305/Асар
229,ASA_0306,46.54508952,56.40921488,G_306/Асар
230,ASA_0309,46.54034124,56.41106646,G_309-Асар
231,ASA_0310,46.54356000,56.41946000,G_310/Асар
232,ASA_0311,46.56042900,56.37159249,311-Асар
233,ASA_0313,46.54481093,56.42464284,G_313-Асар
234,ASA_0314,46.53874000,56.41666000,314/Асар
235,ASA_0315,46.53673000,56.41577000,315 Асар
236,ASA_0316,46.54190000,56.42308000,G_316 Асар
237,ASA_0320,46.54819361,56.40426254,320/Асар доб
238,ASA_0321,46.54225310,56.41763877,G_321-Асар
239,ASA_0327,46.54175300,56.40837042,G_327/Асар
240,ASA_0401,46.55291940,56.40132510,G_401 Асар
241,ASA_0402,46.55165000,56.39833000,G_402/Асар
242,ASA_0403,46.54898000,56.39760000,G_403-АСАР
243,ASA_0405,46.54233610,56.39790010,G_405 Асар
244,ASA_0406,46.54759296,56.39811180,G_406 Асар
245,ASA_0407,46.55050000,56.40258000,G_407 Асар
246,ASA_0408,46.54822000,56.40092000,G_408/Асар
247,ASA_0409,46.54728610,56.40369440,G_409 Асар
248,ASA_0410,46.54641000,56.39994000,G_410-Асар
249,ASA_0411,46.54233610,56.39790000,G_411/Асар
250,ASA_0413,46.55246562,56.40418798,413 Асар
251,ASA_0414,46.54886000,56.40466000,414-Асар
252,ASA_0416,,,416 Асар
253,ASA_0417,,,417-Асар
254,ASA_0418,,,G_418-Асар
255,ASA_0419,,,G_419/Асар
256,ASA_0420,46.55023325,56.41565975,G_420-Асар
257,ASA_0421,46.53989127,56.40303129,G_421 Асар
258,ASA_0424,46.54343000,56.40598000,G_424/Асар
259,ASA_0425,46.53863795,56.40614478,425 Асар
260,ASA_0426,46.54101991,56.43119400,G_426 Асар
261,ASA_0427,46.55440418,56.37339768,G_427 Асар
262,ASA_0428,46.53962000,56.40836000,G_428/Асар
263,ASA_0429,46.54469478,56.42803699,G_429 Асар
264,ASA_0430,46.54592000,56.41806000,430/Асар доб
265,ASA_0431,46.53855833,56.41079636,G_431-Асар
266,ASA_0432,46.53460247,56.41879355,G_432 Асар
267,ASA_0433,46.54953070,56.38197129,G_433 Асар
268,ASA_0434,46.53933000,56.41799000,G_434-Асар
269,ASA_0435,46.54815898,56.38631645,G_435 Асар
270,ASA_0436,46.54277929,56.42567912,436 Асар
271,ASA_0437,,,G_437 Асар
272,ASA_0438,46.53502585,56.42150628,G_438-Асар
273,ASA_0446,46.53366000,56.42724000,446-Асар
274,ASA_0450,46.53273001,56.43576512,G_450 Асар
275,ASA_0455,46.52666000,56.44032000,G_455-Асар
276,ASA_0456,,,456-Асар
277,ASA_0457,46.53090000,56.44772000,G_457-Асар
278,ASA_0459,46.52405237,56.44628231,459 Асар
279,ASA_0460,46.52650000,56.44553000,G_460/Асар
280,ASA_0462,46.56226110,56.36125010,G_462/Асар
281,ASA_0463,46.55445280,56.40023060,G_463-Асар
282,ASA_0464,46.53728344,56.40942898,G_464 Асар
283,ASA_0466,46.52351097,56.44688128,G_466 Асар
284,ASA_0467,46.53968273,56.43212655,G_467-Асар
285,ASA_0468,46.53036833,56.44942937,G_468-Асар
286,ASA_0469,46.53797217,56.41973662,G_469 Асар
287,ASA_0470,46.52532200,56.44643065,G_470 Асар.доб
507,JET_0008Б,46.55693672,56.07796227,#Н/Д
288,ASA_0471,46.53774369,56.43034845,G_471 Асар
289,ASA_0479,46.55049119,56.41065121,G_479 Асар
290,ASA_0485,46.55776670,56.39023890,G_485 Асар
291,ASA_0486,46.55502220,56.39193060,486-Асар
292,ASA_0487,46.55301390,56.38329440,G_487_Асар
293,ASA_0489,46.54810560,56.39485280,G_489/Асар
294,ASA_0490,46.55499222,56.38714260,490 Асар
295,ASA_0491,46.53449071,56.43686019,G_491-Асар
296,ASA_0492,46.52945306,56.43952677,G_492/Асар
297,ASA_0493,46.54585106,56.40178304,
298,ASA_0494,46.53132131,56.43505836,G_494 Асар
299,ASA_0496,46.55983095,56.39473574,G_496/Асар
300,ASA_0497,46.55312680,56.38550812,
301,ASA_0553,46.54787740,56.41369331,G_553-Асар
302,ASA_0600,46.54620711,56.42506697,G_600/Асар
303,ASA_0606,46.54612000,56.41517000,606 Асар
304,ASA_0615,46.54399141,56.42113018,
305,ASA_0616,46.54993354,56.41798410,G_616 Асар
306,ASA_0618,46.53514509,56.42888460,618-Асар доб.
307,ASA_0624,46.53017000,56.44320000,624-Асар
308,ASA_0625,46.52821735,56.44281380,625-Асар
309,ASA_0626,46.55423480,56.40386520,626-Асар
310,ASA_0628,46.53749695,56.42416504,628-Асар
311,ASA_0629,46.53382683,56.43206133,G_629-Асар
312,ASA_0637,46.55477931,56.39650711,G_637/Асар.
313,ASA_0639,46.54960845,56.39255758,G_639 Асар
314,ASA_0643,46.55971186,56.38555739,G_643 Асар
315,ASA_0701,46.56171110,56.37180830,701/Асар доб
316,ASA_0702,46.55964000,56.37099000,G_702/Асар
317,ASA_0703,46.56130353,56.38753716,G_703 Асар
318,ASA_0705,46.55877000,56.37385000,G_705-Асар
319,ASA_0709,46.55936086,56.37922138,709-Асар
320,ASA_0710,46.55759170,56.37718890,G_710/Асар
321,ASA_0711,46.55555560,56.37529440,G_711 Асар
322,ASA_0713,46.55033892,56.39909087,G_713 Асар
323,ASA_0714,46.55685280,56.38028060,G_714-Асар
324,ASA_0715,46.55319378,56.37968600,G_715 Асар
325,ASA_0716,46.55661525,56.37211550,716-Асар
326,ASA_0717,46.55575830,56.38241940,G_717 / Асар. доб.
327,ASA_0719,46.55515010,56.38552220,G_719-Асар
328,ASA_0720,46.55254170,56.39204720,G_720-Асар
1017,JET_0800,46.52372000,56.17930000,#Н/Д
329,ASA_0721,46.56106940,56.38137220,G_721 Асар
330,ASA_0722,46.55251110,56.38770830,G_722-Асар
331,ASA_0723,46.55848330,56.36602220,G_723-Асар 
332,ASA_0724,46.54606110,56.39346110,G_724 Асар
333,ASA_0725,46.55902220,56.36820280,G_725/Асар
334,ASA_0726,46.55180010,56.37786940,G_726 Асар
335,ASA_0727,46.55410560,56.37757220,G_727-Асар
336,ASA_0728,46.55342780,56.39027780,G_728 Асар
337,ASA_0729,46.55178216,56.38957663,G_729-Асар
338,ASA_0730,46.55053957,56.38368274,G_730-Асар
339,ASA_0731,46.55512132,56.38000707,G_731 Асар
340,ASA_0732,46.55734843,56.36994665,G_732 Асар
341,ASA_0733,46.55079238,56.38741975,733/Асар
342,ASA_0734,46.55315343,56.39236212,G_734  Асар
343,ASA_0753,46.56053000,56.35318000,753-Асар
344,ASA_0756,46.55804000,56.37199000,G_756-Асар
345,ASA_0760,46.56392510,56.36313330,G_760/Асар
346,ASA_0761,46.56040010,56.36290010,G_761 Асар
347,ASA_0762,46.56055010,56.37437780,G_762 Асар
348,ASA_0763,46.56599338,56.36581030,G_763/Асар доб
349,ASA_0765,46.56306670,56.36770280,G_765/Асар
350,ASA_0766,46.55670560,56.36775280,G_766-Асар
351,ASA_0767,46.55877385,56.35600034,G_767 Асар
352,ASA_0768,46.56360712,56.37491562,G_768/Асар.
353,ASA_0769,46.56149991,56.35587173,769 Асар
354,ASA_0770,46.56048890,56.35812220,G_770 Асар
355,ASA_0771,46.55542780,56.37010280,G_771-Асар
356,ASA_0772,46.55400830,56.37026390,G_772/Асар
357,ASA_0773,46.56101015,56.36861977,G_773 Асар
358,ASA_0774,46.53485759,56.44204870,
359,ASA_0775,46.56454027,56.36010855,G_775/Асар
360,ASA_0776,46.55810653,56.36299601,776 Асар
361,ASA_0777,46.55472897,56.36621177,G_777  Асар
362,ASA_0778,46.55061515,56.37468572,G_778 Асар
363,ASA_0779,46.55098208,56.39708235,G_779 Асар
364,ASA_0780,46.56472256,56.37765143,G_780-Асар
365,ASA_0781,46.54631390,56.38726110,G_781 Асар
366,ASA_0782,46.55888943,56.38100891,G_782 Асар
367,ASA_0783,46.55692945,56.39252888,G_783 Асар
368,ASA_0804,46.55813060,56.37983610,G_804/Асар
369,ASA_0806,46.55925350,56.38825690,G_806 Асар
370,ASA_0807,46.55655440,56.38579456,807 Асар
371,ASA_0810,46.55584440,56.38982510,G_810 Асар
372,ASA_0811,46.56049440,56.38255830,G_811/Асар
373,ASA_0812,46.56161390,56.37623330,G_812/Асар
374,ASA_0814,46.55422510,56.38800010,G_814-Асар доб.
375,ASA_0815,46.55966017,56.39010508,
376,ASA_0816,46.52674664,56.45029957,#Н/Д
377,ASA_0817,46.55908773,56.37755300,G_817-Асар
378,ASA_0852,46.56393000,56.35806000,852-Асар
379,ASA_0856,46.55574170,56.37777780,G_856 Асар
380,ASA_0859,46.55736110,56.38257220,G_859/Асар
381,ASA_0860,46.55476940,56.38073330,G_860 Асар
382,ASA_0861,46.55893881,56.37911757,861-Асар
383,ASA_0862,46.56156390,56.38509720,G_862-Асар
384,ASA_0865,,,G_865-Асар
385,ASA_0868,46.55167220,56.38120830,G_868-Асар
386,ASA_0869,46.55195280,56.38555560,G_869 Асар
387,ASA_0871,46.55956390,56.37634170,G_871/Асар
388,ASA_0872,46.55294720,56.37568610,G_872 Асар
389,ASA_0874,46.55858355,56.39247787,G_874 Асар
390,ASA_0878,46.54852480,56.39221540,G_878 Асар
391,ASA_0879,46.54794440,56.38892510,G_879-Асар
392,ASA_0882,46.55178760,56.40688358,G_882/Асар
393,ASA_0883,46.53361784,56.42192116,G_883/Асар
394,ASA_0884,46.53662625,56.44120923,G_884 Асар
395,ASA_0886,46.53690478,56.43525881,G_886  Асар
396,ASA_0887,46.54551866,56.41163774,G_887 Асар
397,ASA_0888,46.53326726,56.44349212,G_888/Асар. доб
398,ASA_0889,46.53245964,56.44115949,G_889 Асар
399,ASA_0890,,,G_890 Асар.доб
400,ASA_0891,46.56252440,56.37436570,G_891 Асар
